Year,PPD_Projected,Method
1600,6.0,Linear (backward)
1601,5.996,Linear (backward)
1602,5.992,Linear (backward)
1603,5.988,Linear (backward)
1604,5.984,Linear (backward)
1605,5.98,Linear (backward)
1606,5.976,Linear (backward)
1607,5.972,Linear (backward)
1608,5.968,Linear (backward)
1609,5.964,Linear (backward)
1610,5.96,Linear (backward)
1611,5.956,Linear (backward)
1612,5.952,Linear (backward)
1613,5.948,Linear (backward)
1614,5.944,Linear (backward)
1615,5.94,Linear (backward)
1616,5.936,Linear (backward)
1617,5.932,Linear (backward)
1618,5.928,Linear (backward)
1619,5.924,Linear (backward)
1620,5.92,Linear (backward)
1621,5.916,Linear (backward)
1622,5.912,Linear (backward)
1623,5.908,Linear (backward)
1624,5.904,Linear (backward)
1625,5.9,Linear (backward)
1626,5.896,Linear (backward)
1627,5.892,Linear (backward)
1628,5.888,Linear (backward)
1629,5.884,Linear (backward)
1630,5.88,Linear (backward)
1631,5.876,Linear (backward)
1632,5.872,Linear (backward)
1633,5.868,Linear (backward)
1634,5.864,Linear (backward)
1635,5.86,Linear (backward)
1636,5.856,Linear (backward)
1637,5.852,Linear (backward)
1638,5.848,Linear (backward)
1639,5.844,Linear (backward)
1640,5.84,Linear (backward)
1641,5.836,Linear (backward)
1642,5.832,Linear (backward)
1643,5.828,Linear (backward)
1644,5.824,Linear (backward)
1645,5.82,Linear (backward)
1646,5.816,Linear (backward)
1647,5.812,Linear (backward)
1648,5.808,Linear (backward)
1649,5.804,Linear (backward)
1650,5.8,Linear (backward)
1651,5.796,Linear (backward)
1652,5.792,Linear (backward)
1653,5.788,Linear (backward)
1654,5.784,Linear (backward)
1655,5.78,Linear (backward)
1656,5.776,Linear (backward)
1657,5.772,Linear (backward)
1658,5.768,Linear (backward)
1659,5.764,Linear (backward)
1660,5.76,Linear (backward)
1661,5.756,Linear (backward)
1662,5.752,Linear (backward)
1663,5.748,Linear (backward)
1664,5.744,Linear (backward)
1665,5.74,Linear (backward)
1666,5.736000000000001,Linear (backward)
1667,5.732,Linear (backward)
1668,5.728000000000001,Linear (backward)
1669,5.724,Linear (backward)
1670,5.720000000000001,Linear (backward)
1671,5.716,Linear (backward)
1672,5.712000000000001,Linear (backward)
1673,5.708,Linear (backward)
1674,5.704000000000001,Linear (backward)
1675,5.7,Linear (backward)
1676,5.696000000000001,Linear (backward)
1677,5.692,Linear (backward)
1678,5.688000000000001,Linear (backward)
1679,5.684,Linear (backward)
1680,5.680000000000001,Linear (backward)
1681,5.676,Linear (backward)
1682,5.672000000000001,Linear (backward)
1683,5.668,Linear (backward)
1684,5.664000000000001,Linear (backward)
1685,5.66,Linear (backward)
1686,5.656000000000001,Linear (backward)
1687,5.652,Linear (backward)
1688,5.648000000000001,Linear (backward)
1689,5.644,Linear (backward)
1690,5.640000000000001,Linear (backward)
1691,5.636,Linear (backward)
1692,5.632000000000001,Linear (backward)
1693,5.628,Linear (backward)
1694,5.6240000000000006,Linear (backward)
1695,5.62,Linear (backward)
1696,5.6160000000000005,Linear (backward)
1697,5.612,Linear (backward)
1698,5.6080000000000005,Linear (backward)
1699,5.604,Linear (backward)
1700,5.6000000000000005,Linear (backward)
1701,5.596,Linear (backward)
1702,5.5920000000000005,Linear (backward)
1703,5.588,Linear (backward)
1704,5.5840000000000005,Linear (backward)
1705,5.58,Linear (backward)
1706,5.5760000000000005,Linear (backward)
1707,5.572,Linear (backward)
1708,5.5680000000000005,Linear (backward)
1709,5.564,Linear (backward)
1710,5.5600000000000005,Linear (backward)
1711,5.556,Linear (backward)
1712,5.5520000000000005,Linear (backward)
1713,5.548,Linear (backward)
1714,5.5440000000000005,Linear (backward)
1715,5.54,Linear (backward)
1716,5.5360000000000005,Linear (backward)
1717,5.532,Linear (backward)
1718,5.5280000000000005,Linear (backward)
1719,5.524,Linear (backward)
1720,5.5200000000000005,Linear (backward)
1721,5.516,Linear (backward)
1722,5.5120000000000005,Linear (backward)
1723,5.508,Linear (backward)
1724,5.5040000000000004,Linear (backward)
1725,5.5,Linear (backward)
1726,5.496,Linear (backward)
1727,5.492,Linear (backward)
1728,5.488,Linear (backward)
1729,5.484,Linear (backward)
1730,5.48,Linear (backward)
1731,5.476,Linear (backward)
1732,5.472,Linear (backward)
1733,5.468,Linear (backward)
1734,5.464,Linear (backward)
1735,5.46,Linear (backward)
1736,5.456,Linear (backward)
1737,5.452,Linear (backward)
1738,5.448,Linear (backward)
1739,5.444,Linear (backward)
1740,5.44,Linear (backward)
1741,5.436,Linear (backward)
1742,5.432,Linear (backward)
1743,5.428,Linear (backward)
1744,5.424,Linear (backward)
1745,5.42,Linear (backward)
1746,5.416,Linear (backward)
1747,5.412,Linear (backward)
1748,5.408,Linear (backward)
1749,5.404,Linear (backward)
1750,5.4,Linear (backward)
1751,5.396,Linear (backward)
1752,5.392,Linear (backward)
1753,5.388,Linear (backward)
1754,5.384,Linear (backward)
1755,5.38,Linear (backward)
1756,5.376,Linear (backward)
1757,5.372,Linear (backward)
1758,5.368,Linear (backward)
1759,5.364,Linear (backward)
1760,5.36,Linear (backward)
1761,5.356,Linear (backward)
1762,5.352,Linear (backward)
1763,5.348,Linear (backward)
1764,5.344,Linear (backward)
1765,5.34,Linear (backward)
1766,5.336,Linear (backward)
1767,5.332,Linear (backward)
1768,5.328,Linear (backward)
1769,5.324,Linear (backward)
1770,5.32,Linear (backward)
1771,5.316,Linear (backward)
1772,5.312,Linear (backward)
1773,5.308,Linear (backward)
1774,5.304,Linear (backward)
1775,5.3,Linear (backward)
1776,5.296,Linear (backward)
1777,5.292,Linear (backward)
1778,5.288,Linear (backward)
1779,5.284,Linear (backward)
1780,5.28,Linear (backward)
1781,5.276,Linear (backward)
1782,5.272,Linear (backward)
1783,5.268,Linear (backward)
1784,5.264,Linear (backward)
1785,5.26,Linear (backward)
1786,5.256,Linear (backward)
1787,5.252,Linear (backward)
1788,5.248,Linear (backward)
1789,5.244,Linear (backward)
1790,5.24,Linear (backward)
1791,5.236,Linear (backward)
1792,5.232,Linear (backward)
1793,5.228000000000001,Linear (backward)
1794,5.224,Linear (backward)
1795,5.220000000000001,Linear (backward)
1796,5.216,Linear (backward)
1797,5.212000000000001,Linear (backward)
1798,5.208,Linear (backward)
1799,5.204000000000001,Linear (backward)
1800,5.2,Linear (backward)
1801,5.196000000000001,Linear (backward)
1802,5.192,Linear (backward)
1803,5.188000000000001,Linear (backward)
1804,5.184,Linear (backward)
1805,5.180000000000001,Linear (backward)
1806,5.176,Linear (backward)
1807,5.172000000000001,Linear (backward)
1808,5.168,Linear (backward)
1809,5.164000000000001,Linear (backward)
1810,5.16,Linear (backward)
1811,5.156000000000001,Linear (backward)
1812,5.152,Linear (backward)
1813,5.148000000000001,Linear (backward)
1814,5.144,Linear (backward)
1815,5.140000000000001,Linear (backward)
1816,5.136,Linear (backward)
1817,5.132000000000001,Linear (backward)
1818,5.128,Linear (backward)
1819,5.1240000000000006,Linear (backward)
1820,5.12,Linear (backward)
1821,5.1160000000000005,Linear (backward)
1822,5.112,Linear (backward)
1823,5.1080000000000005,Linear (backward)
1824,5.104,Linear (backward)
1825,5.1000000000000005,Linear (backward)
1826,5.096,Linear (backward)
1827,5.0920000000000005,Linear (backward)
1828,5.088,Linear (backward)
1829,5.0840000000000005,Linear (backward)
1830,5.08,Linear (backward)
1831,5.0760000000000005,Linear (backward)
1832,5.072,Linear (backward)
1833,5.0680000000000005,Linear (backward)
1834,5.064,Linear (backward)
1835,5.0600000000000005,Linear (backward)
1836,5.056,Linear (backward)
1837,5.0520000000000005,Linear (backward)
1838,5.048,Linear (backward)
1839,5.0440000000000005,Linear (backward)
1840,5.04,Linear (backward)
1841,5.0360000000000005,Linear (backward)
1842,5.032,Linear (backward)
1843,5.0280000000000005,Linear (backward)
1844,5.024,Linear (backward)
1845,5.0200000000000005,Linear (backward)
1846,5.016,Linear (backward)
1847,5.0120000000000005,Linear (backward)
1848,5.008,Linear (backward)
1849,5.0040000000000004,Linear (backward)
1850,5.0,Cubic Spline
1851,4.995641516584808,Cubic Spline
1852,4.99128091173137,Cubic Spline
1853,4.986916064001443,Cubic Spline
1854,4.9825448519567805,Cubic Spline
1855,4.978165154159138,Cubic Spline
1856,4.973774849170269,Cubic Spline
1857,4.969371815551931,Cubic Spline
1858,4.964953931865877,Cubic Spline
1859,4.9605190766738625,Cubic Spline
1860,4.9560651285376425,Cubic Spline
1861,4.951589966018972,Cubic Spline
1862,4.947091467679606,Cubic Spline
1863,4.942567512081299,Cubic Spline
1864,4.938015977785805,Cubic Spline
1865,4.933434743354881,Cubic Spline
1866,4.928821687350282,Cubic Spline
1867,4.924174688333761,Cubic Spline
1868,4.9194916248670735,Cubic Spline
1869,4.914770375511975,Cubic Spline
1870,4.910008818830221,Cubic Spline
1871,4.905204833383566,Cubic Spline
1872,4.900356297733763,Cubic Spline
1873,4.89546109044257,Cubic Spline
1874,4.89051709007174,Cubic Spline
1875,4.88552217518303,Cubic Spline
1876,4.880474224338191,Cubic Spline
1877,4.875371116098981,Cubic Spline
1878,4.870210729027155,Cubic Spline
1879,4.864990941684466,Cubic Spline
1880,4.859709632632672,Cubic Spline
1881,4.854364680433525,Cubic Spline
1882,4.848953963648781,Cubic Spline
1883,4.843475360840195,Cubic Spline
1884,4.837926750569522,Cubic Spline
1885,4.832306011398517,Cubic Spline
1886,4.826611021888935,Cubic Spline
1887,4.820839660602529,Cubic Spline
1888,4.814989806101058,Cubic Spline
1889,4.809059336946273,Cubic Spline
1890,4.803046131699931,Cubic Spline
1891,4.796948068923786,Cubic Spline
1892,4.790763027179594,Cubic Spline
1893,4.784488885029109,Cubic Spline
1894,4.778123521034087,Cubic Spline
1895,4.7716648137562805,Cubic Spline
1896,4.765110641757447,Cubic Spline
1897,4.758458883599341,Cubic Spline
1898,4.7517074178437175,Cubic Spline
1899,4.744854123052329,Cubic Spline
1900,4.737896877786934,Cubic Spline
1901,4.730833560609286,Cubic Spline
1902,4.7236620500811375,Cubic Spline
1903,4.716380224764247,Cubic Spline
1904,4.708985963220369,Cubic Spline
1905,4.701477144011257,Cubic Spline
1906,4.693851645698666,Cubic Spline
1907,4.686107346844352,Cubic Spline
1908,4.678242126010069,Cubic Spline
1909,4.670253861757573,Cubic Spline
1910,4.662140432648616,Cubic Spline
1911,4.653899717244958,Cubic Spline
1912,4.64552959410835,Cubic Spline
1913,4.6370279418005484,Cubic Spline
1914,4.628392638883306,Cubic Spline
1915,4.619621563918382,Cubic Spline
1916,4.610712595467527,Cubic Spline
1917,4.601663612092499,Cubic Spline
1918,4.592472492355051,Cubic Spline
1919,4.583137114816939,Cubic Spline
1920,4.573655358039917,Cubic Spline
1921,4.5640251005857415,Cubic Spline
1922,4.554244221016165,Cubic Spline
1923,4.544310597892945,Cubic Spline
1924,4.5342221097778355,Cubic Spline
1925,4.52397663523259,Cubic Spline
1926,4.513572052818966,Cubic Spline
1927,4.503006241098717,Cubic Spline
1928,4.492277078633598,Cubic Spline
1929,4.481382443985364,Cubic Spline
1930,4.470320215715769,Cubic Spline
1931,4.45908827238657,Cubic Spline
1932,4.44768449255952,Cubic Spline
1933,4.436106754796375,Cubic Spline
1934,4.42435293765889,Cubic Spline
1935,4.41242091970882,Cubic Spline
1936,4.400308579507919,Cubic Spline
1937,4.388013795617942,Cubic Spline
1938,4.375534446600645,Cubic Spline
1939,4.362868411017783,Cubic Spline
1940,4.35001356743111,Cubic Spline
1941,4.33696779440238,Cubic Spline
1942,4.323728970493351,Cubic Spline
1943,4.310294974265775,Cubic Spline
1944,4.296663684281409,Cubic Spline
1945,4.282832979102006,Cubic Spline
1946,4.268800737289322,Cubic Spline
1947,4.254564837405112,Cubic Spline
1948,4.240123158011131,Cubic Spline
1949,4.225473577669133,Cubic Spline
1950,4.210613974940874,Cubic Spline
1951,4.19554222838811,Cubic Spline
1952,4.180256216572594,Cubic Spline
1953,4.16475381805608,Cubic Spline
1954,4.149032911400325,Cubic Spline
1955,4.133091375167084,Cubic Spline
1956,4.116927087918111,Cubic Spline
1957,4.100537928215161,Cubic Spline
1958,4.08392177461999,Cubic Spline
1959,4.0670765056943505,Cubic Spline
1960,4.05,Cubic Spline
1961,4.032685626001041,Cubic Spline
1962,4.0151087117709725,Cubic Spline
1963,3.9972400752856414,Cubic Spline
1964,3.9790505345208955,Cubic Spline
1965,3.9605109074525817,Cubic Spline
1966,3.9415920120565477,Cubic Spline
1967,3.922264666308641,Cubic Spline
1968,3.9024996881847076,Cubic Spline
1969,3.8822678956605965,Cubic Spline
1970,3.861540106712154,Cubic Spline
1971,3.840287139315228,Cubic Spline
1972,3.8184798114456653,Cubic Spline
1973,3.7960889410793137,Cubic Spline
1974,3.77308534619202,Cubic Spline
1975,3.7494398447596318,Cubic Spline
1976,3.7251232547579973,Cubic Spline
1977,3.7001063941629626,Cubic Spline
1978,3.674360080950375,Cubic Spline
1979,3.6478551330960824,Cubic Spline
1980,3.620562368575932,Cubic Spline
1981,3.5924526053657715,Cubic Spline
1982,3.5634966614414476,Cubic Spline
1983,3.5336653547788077,Cubic Spline
1984,3.5029295033536996,Cubic Spline
1985,3.47125992514197,Cubic Spline
1986,3.438627438119467,Cubic Spline
1987,3.4050028602620372,Cubic Spline
1988,3.370357009545528,Cubic Spline
1989,3.334660703945788,Cubic Spline
1990,3.297884761438662,Cubic Spline
1991,3.26,Cubic Spline
1992,3.221023490306582,Cubic Spline
1993,3.1811573138389306,Cubic Spline
1994,3.140649804778501,Cubic Spline
1995,3.0997492973067486,Cubic Spline
1996,3.058704125605131,Cubic Spline
1997,3.017762623855102,Cubic Spline
1998,2.9771731262381187,Cubic Spline
1999,2.937183966935637,Cubic Spline
2000,2.898043480129112,Cubic Spline
2001,2.86,Cubic Spline
2002,2.8232873266438703,Cubic Spline
2003,2.7880811238127436,Cubic Spline
2004,2.7545425211727554,Cubic Spline
2005,2.72283264839004,Cubic Spline
2006,2.693112635130731,Cubic Spline
2007,2.6655436110609636,Cubic Spline
2008,2.640286705846872,Cubic Spline
2009,2.6175030491545916,Cubic Spline
2010,2.597353770650256,Cubic Spline
2011,2.58,Cubic Spline
2012,2.565498339692327,Cubic Spline
2013,2.553487283505212,Cubic Spline
2014,2.5435007980390005,Cubic Spline
2015,2.535072849894037,Cubic Spline
2016,2.5277374056706665,Cubic Spline
2017,2.521028431969232,Cubic Spline
2018,2.514479895390081,Cubic Spline
2019,2.5076257625335545,Cubic Spline
2020,2.5,Cubic Spline
2021,2.49126468980425,Cubic Spline
2022,2.4815943756190952,Cubic Spline
2023,2.471291716531816,Cubic Spline
2024,2.4606593716296907,Cubic Spline
2025,2.45,Cubic Spline
2026,2.4395625362111946,Cubic Spline
2027,2.42938101675641,Cubic Spline
2028,2.4194357536099504,Cubic Spline
2029,2.4097070587461245,Cubic Spline
2030,2.4001752441392368,Cubic Spline
2031,2.390820621763594,Cubic Spline
2032,2.3816235035935023,Cubic Spline
2033,2.3725642016032675,Cubic Spline
2034,2.3636230277671957,Cubic Spline
2035,2.3547802940595934,Cubic Spline
2036,2.346016312454766,Cubic Spline
2037,2.337311394927021,Cubic Spline
2038,2.3286458534506633,Cubic Spline
2039,2.3199999999999994,Cubic Spline
2040,2.3131147540983594,Linear (forward)
2041,2.3062295081967203,Linear (forward)
2042,2.2993442622950813,Linear (forward)
2043,2.292459016393442,Linear (forward)
2044,2.285573770491803,Linear (forward)
2045,2.2786885245901622,Linear (forward)
2046,2.271803278688523,Linear (forward)
2047,2.264918032786884,Linear (forward)
2048,2.258032786885245,Linear (forward)
2049,2.251147540983606,Linear (forward)
2050,2.244262295081967,Linear (forward)
2051,2.2373770491803278,Linear (forward)
2052,2.230491803278687,Linear (forward)
2053,2.223606557377048,Linear (forward)
2054,2.2167213114754087,Linear (forward)
2055,2.2098360655737697,Linear (forward)
2056,2.2029508196721306,Linear (forward)
2057,2.1960655737704915,Linear (forward)
2058,2.1891803278688524,Linear (forward)
2059,2.1822950819672116,Linear (forward)
2060,2.1754098360655725,Linear (forward)
2061,2.1685245901639334,Linear (forward)
2062,2.1616393442622943,Linear (forward)
2063,2.1547540983606552,Linear (forward)
2064,2.147868852459016,Linear (forward)
2065,2.1409836065573753,Linear (forward)
2066,2.134098360655736,Linear (forward)
2067,2.127213114754097,Linear (forward)
2068,2.120327868852458,Linear (forward)
2069,2.113442622950819,Linear (forward)
2070,2.10655737704918,Linear (forward)
2071,2.099672131147541,Linear (forward)
2072,2.0927868852459,Linear (forward)
2073,2.085901639344261,Linear (forward)
2074,2.079016393442622,Linear (forward)
2075,2.0721311475409827,Linear (forward)
2076,2.0652459016393436,Linear (forward)
2077,2.0583606557377045,Linear (forward)
2078,2.0514754098360655,Linear (forward)
2079,2.0445901639344246,Linear (forward)
2080,2.0377049180327855,Linear (forward)
2081,2.0308196721311464,Linear (forward)
2082,2.0239344262295074,Linear (forward)
2083,2.0170491803278683,Linear (forward)
2084,2.010163934426229,Linear (forward)
2085,2.00327868852459,Linear (forward)
2086,1.9963934426229493,Linear (forward)
2087,1.9895081967213102,Linear (forward)
2088,1.982622950819671,Linear (forward)
2089,1.975737704918032,Linear (forward)
2090,1.968852459016393,Linear (forward)
2091,1.9619672131147539,Linear (forward)
2092,1.9550819672131148,Linear (forward)
2093,1.948196721311474,Linear (forward)
2094,1.9413114754098348,Linear (forward)
2095,1.9344262295081958,Linear (forward)
2096,1.9275409836065567,Linear (forward)
2097,1.9206557377049176,Linear (forward)
2098,1.9137704918032785,Linear (forward)
2099,1.9068852459016377,Linear (forward)
2100,1.8999999999999986,Linear (forward)
